# Add global variables here that will be available in all script files.
# @something = 42
# They can be overridden in each normal script file.
# vanilla if need
@hfe_media_days = 720
# thoth
@hfe_thoth_module_cost = 5000
# pirate
@hfe_pirate_ravaged_planet_time = 180
@hfe_pirate_spawn_cooldown = 7
@hfe_pirate_base_cost = 5000
@hfe_pirate_slave_cost_energy = 400
@hfe_pirate_slave_cost_alloys = 100
@hfe_pirate_protect_cost_energy = 250
@hfe_pirate_protect_cost_alloys = 100
@hfe_pirate_protect_cost_energy_minus = -250
@hfe_pirate_protect_cost_alloys_minus = -100
# 5 years
@hfe_pirate_protect_days = 1825
@hfe_pirate_raid_cost_energy = 500
@hfe_pirate_raid_cost_alloys = 200
@hfe_pirate_raid_cost_energy_minus = -500
@hfe_pirate_raid_cost_alloys_minus = -200
@hfe_blackjack_bet_0 = 100
@hfe_blackjack_bet_1 = 250
@hfe_blackjack_bet_2 = 500
@hfe_blackjack_bet_3 = 1000
@hfe_blackjack_bet_4 = 5000
@hfe_blackjack_bet_0_minus = -100
@hfe_blackjack_bet_1_minus = -250
@hfe_blackjack_bet_2_minus = -500
@hfe_blackjack_bet_3_minus = -1000
@hfe_blackjack_bet_4_minus = -5000
# discovery
@hfe_discovery_contract_pirate_hunt_reward = 500
@hfe_discovery_contract_pirate_hunt_reward_minus = -500
@hfe_discovery_contract_embassy_reward = 100
@hfe_discovery_contract_embassy_reward_minus = -100
@hfe_discovery_kill_t0 = 50
@hfe_discovery_kill_t1 = 100
@hfe_discovery_kill_t2 = 150
@hfe_discovery_kill_t3 = 200
@hfe_discovery_kill_t4 = 1000
@hfe_discovery_kill_energy = 75
@hfe_discovery_kill_reward = 50
@hfe_discovery_kill_reward_minus = -50
# costs
@hfe_discovery_docking_update_minerals_cost = 600
@hfe_discovery_docking_update_energy_cost = 600
@hfe_discovery_docking_update_minerals_cost_minus = -600
@hfe_discovery_docking_update_energy_cost_minus = -600
@hfe_discovery_docking_update_minerals_cost_owner = 300
@hfe_discovery_docking_update_energy_cost_owner = 300
@hfe_discovery_docking_update_minerals_cost_owner_minus = -300
@hfe_discovery_docking_update_energy_cost_owner_minus = -300
